Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"2074394","1","2074649","","2010-01-15 19:58:09","","1","194","<p>I was wondering whether it's possible to validate a required size for an icon before trying:</p>

<pre><code>Dim myIcon = New Icon(theIcon, requestedSize).
</code></pre>

<p>This falls over for negative numbers, so that's an easy check.</p>

<p>It appears it falls over if the number is less than half of the smallest icon.
I've looked at the icon class but can see nothing for extracting the sizes.</p>

<p>ETA:</p>

<p>This is pretty annoying. You can put Int32.MaxValue in and it chooses the largest icon. Why it doesn't choose the smallest icon, as long as size > 0 I don't know.
If I can determine the size of the smallest icon, then I can do that myself - with no need to throw an exception.</p>

<p>ETA:</p>

<p>Here's some VB code for anyone who's interested:</p>

<pre><code>//Returns an array of IconMetaData which contains, amongst other things, the size of
// each image in the icon.

&lt;Extension()&gt; _
Public Function GetMetaData(ByVal icon As Icon) As IconMetaData()
    Using s As New System.IO.MemoryStream
        icon.Save(s)
        Using r As New BinaryReader(s)
            s.Position = 0
            Dim Header As New IconHeader(r)
            Dim Data As New List(Of IconMetaData)
            For i As Integer = 0 To Header.NumberOfIcons - 1
                Dim d As New IconMetaData(r)
                *See note below. 
                If d.Height &lt;&gt; 0 AndAlso d.Width &lt;&gt; 0 Then
                    Data.Add(d)
                End If
            Next
            Return Data.ToArray
        End Using
    End Using
End Function

Private Class IconHeader

    Public ReadOnly NumberOfIcons As Short

    Public Sub New(ByVal r As BinaryReader)
        r.ReadInt16() //Reserved
        r.ReadInt16() //Type, 0=Bitmap, 1=Icon
        Me.NumberOfIcons = r.ReadInt16
    End Sub

End Class

Public Class IconMetaData

    Public ReadOnly Width As Byte
    Public ReadOnly Height As Byte
    Public ReadOnly ColorCount As Byte
    Public ReadOnly Planes As Short
    Public ReadOnly BitCount As Short

    Friend Sub New(ByVal r As BinaryReader)
        Me.Width = r.ReadByte
        Me.Height = r.ReadByte
        Me.ColorCount = r.ReadByte
        r.ReadByte() //Reserved
        Me.Planes = r.ReadInt16
        Me.BitCount = r.ReadInt16
        r.ReadInt32() //Bytes in res
        r.ReadInt32() //Image offset
    End Sub

End Class
</code></pre>

<p>*Note: From the couple of icons i've tested this with, the first entry has dimensions of (0,0). I don't know why, and I can't be sure that all icons have this entry, or that it's always the first. Therefore, I check each one.</p>

<p>ETA: On further investigation, i've found that 0 is used to indicate an icon of size 256.</p>
","120399","","120399","","2010-01-17 13:48:21","2010-01-17 13:48:21","How to determine the dimensions of the icons in an icon object in .net, winforms?","<.net><winforms><size><icons><validation>","1","0","","","","CC BY-SA 2.5"
"2074396","1","2074517","","2010-01-15 19:58:33","","1","315","<p>I am doing a project for school and I'm really struggling to understand how to create the code/commands for my for loop in JavaScript. Any help would be greatly appreciated.</p>
<p>The project is basically this:</p>
<ul>
<li>There are two arrays: one set of 10 French words another with a set of 10 English words. They look like this:
<pre><code>var english=new Array();
english[0]=&quot;This hotel isn't far from the Eiffel Tower.&quot;;
english[1]=&quot;What time does the train arrive?&quot;;
english[2]=&quot;We have been waiting for the bus for one half-hour.&quot;;
english[3]=&quot;This meal is delicious&quot;;
english[4]=&quot;What day is she going to arrive?&quot;;
english[5]=&quot;We have eleven minutes before the train leaves!&quot;;
english[6]=&quot;Living in a foreign country is a good experience.&quot;;
english[7]=&quot;Excuse me! I'm late!&quot;;
english[8]=&quot;Is this taxi free?&quot;;
english[9]=&quot;Be careful when you go down the steps.&quot;;

var french=new Array();
french[0]=&quot;Cet h&amp;#244;tel n'est pas loin de la Tour Eiffel.&quot;;
french[1]=&quot;A quelle heure arrive le train?&quot;;
french[2]=&quot;Nous attendons l'autobus depuis une demi-heure.&quot;;
french[3]=&quot;Ce repas est d&amp;#233;licieux&quot;;
french[4]=&quot;Quel jour va-t-elle arriver?&quot;;
french[5]=&quot;Nous avons onze minutes avant le d&amp;#233;part du train!&quot;;
french[6]=&quot;Habiter dans un pays &amp;#233;tranger est une bonne exp&amp;#233;rience.&quot;;
french[7]=&quot;Excusez-moi! Je suis en retard!&quot;;
french[8]=&quot;Est-ce que ce taxi est libre?&quot;;
french[9]=&quot;Faites attention quand vous descendez l'escalier.&quot;;
</code></pre>
</li>
<li>I have to create a function named <code>setUpTranslation()</code>. The purpose of the function is to place the French phrases into the document and set up the event handlers for the mouse-down and mouse-up events.</li>
</ul>
<p>To create the For Loop it says:</p>
<blockquote>
<p>create a for loop that loops through each of the objects in the phrases collection. For each object in the collection do the following:</p>
<ol>
<li>Change the inner content of the second child node of the object to french[i] where i is the value of the counter variable for the for loop.</li>
<li>Run the swapFE() function in response to the mouse-down event occurring within the object's second child node</li>
<li>Run the swapEF() function in response to a mouse-up event occurring within the object's second child node.</li>
</ol>
</blockquote>
<p>Then after setting up the for loop I'm to work on the <code>swapFE()</code> and <code>swapEF()</code> functions, but right now I'm just trying to fix the for loop.</p>
<p>Here's what I have so far for the <code>setUpTranslation</code> function:</p>
<pre><code>function setUpTranslation() {
   var phrases = document.getElementsByTagName(&quot;p&quot;);   
   
   for (i = 0; i&lt; phrases.length; i++) {
       
  }

}
</code></pre>
<p>I have tried numerous code in the for loop but none of it seems to display the French phrase.</p>
","214021","","4370109","","2022-12-31 15:23:14","2022-12-31 15:23:14","Creating a For Loop in JavaScript","<javascript><dom-events>","2","4","0","","","CC BY-SA 4.0"
"2074397","1","2086721","","2010-01-15 19:58:42","","1","4674","<p>For my application I need to know if a Facebook Connect session is valid from the server side. </p>

<p>The Javascript API lets you know if you are connected to Facebook or not, but it seems that this can't be done from the PHP client library.</p>

<p>The scenario where I need it is similar to the following:</p>

<ol>
<li>Log in to <a href=""http://www.somethingtoputhere.com/therunaround"" rel=""nofollow noreferrer"" title=""The Run Around"">The Run Around</a> using Facebook connect.</li>
<li>Open <a href=""http://www.facebook.com"" rel=""nofollow noreferrer"" title=""Facebook, duh"">Facebook</a> in another tab.</li>
<li>Log out from the Facebook tab (not The Run Around).</li>
<li>Go back to the Run Around tab.</li>
<li>Enter a new entry, but deactivate the ""Publish this run to Facebook"" checkbox.</li>
</ol>

<p>After submitting the form your run will get published though you logged out before! After that call, the site will log you out because the Javascript API will try to validate your status.</p>

<p>In the 5th step, the application should check with Facebook if the session has expired or not (or use a workaround). The Connect implementation of The Run Around is flawed and shouldn't be used as an example because of this security issue.</p>
","58633","","","","","2010-01-18 14:50:58","How do I detect if a Facebook connect session hasn't expired from PHP/the server?","<php><security><session><facebook>","2","0","0","","","CC BY-SA 2.5"
"2074399","1","2074539","","2010-01-15 19:59:05","","2","2532","<p>I sometimes import data from CSV files that were provided to me, into a mysql table.</p>

<p>In the last one I did, some of the entries has a weird bad character in front of the actual data, and it got imported in my database. Now I'm looking for a way to clean it up.</p>

<p>The bad data is in the mysql column 'email', it seems to be always right in front of the actual data. When trying to print it on my screen using PHP, it shows up as �. When exporting it to a CSV file, it looks like Â , and if I <code>SET CHARACTER SET utf8</code> before printing it on the screen using PHP, it looks like a normal space ' '.</p>

<p>I was thinking of writing a PHP script that goes over all my rows one at a time, fix the email address field, and update the row. However I'm not quite sure about the ""fix the email"" part!</p>

<p>I was thinking maybe to do a ""explode"" and use the bad character as a delimiter, but I don't know how to type that character into my code.</p>

<p>Is there maybe a way to find the underlying value/utf8/hex or whatever of that character, then find it in the string?</p>

<p>I hope it's clear enough.</p>

<p>Thanks</p>

<p>EDIT:
In Hex, it looks like it's A0. What can I do to search and delete a character by its hex value? Either in PHP or directly in MySQL I guess ...</p>
","25645","","25645","","2010-01-15 20:11:41","2010-01-15 20:31:08","php mysql: delete a special character from the database","<php><mysql><utf-8>","4","0","","","","CC BY-SA 2.5"
"2074409","1","2074491","","2010-01-15 20:00:48","","10","578","<p>I'm writing a small data structures library in C#, and I'm running into an architectural problem. Essentially I have a class which implements the visitor pattern, and there are many possible implementations of visitors:</p>

<pre><code>public interface ITreeVisitor&lt;T, U&gt;
{
    U Visit(Nil&lt;T&gt; s);
    U Visit(Node&lt;T&gt; s);
}

public abstract class Tree&lt;T&gt; : IEnumerable&lt;T&gt;
{
    public readonly static Tree&lt;T&gt; empty = new Nil&lt;T&gt;();
    public abstract U Accept&lt;U&gt;(ITreeVisitor&lt;T, U&gt; visitor);
}

public sealed class Nil&lt;T&gt; : Tree&lt;T&gt;
{
    public override U Accept&lt;U&gt;(ITreeVisitor&lt;T, U&gt; visitor) { return visitor.Visit(this); }
}

public sealed class Node&lt;T&gt; : Tree&lt;T&gt;
{
    public Tree&lt;T&gt; Left { get; set; }
    public T Value { get; set; }
    public Tree&lt;T&gt; Right { get; set; }

    public override U Accept&lt;U&gt;(ITreeVisitor&lt;T, U&gt; visitor) { return visitor.Visit(this); }
}
</code></pre>

<p>Anytime I want to pass in a visitor, I have to create a visitor class, implement the interface, and pass it in like this:</p>

<pre><code>class InsertVisitor&lt;T&gt; : ITreeVisitor&lt;T, Tree&lt;T&gt;&gt; where T : IComparable&lt;T&gt;
{
    public T v { get; set; };

    public Tree&lt;T&gt; Visit(Nil&lt;T&gt; s)
    {
        return new Node&lt;T&gt;() { Left = Tree&lt;T&gt;.empty, Value = v, Right = Tree&lt;T&gt;.empty };
    }

    public Tree&lt;T&gt; Visit(Node&lt;T&gt; s)
    {
        switch (v.CompareTo(s.Value))
        {
            case -1: return new Node&lt;T&gt;() { Left = Insert(v, s.Left), Value = s.Value, Right = s.Right };
            case 1: return new Node&lt;T&gt;() { Left = s.Left, Value = s.Value, Right = Insert(v, s.Right) };
            default: return s;
        }
    }
}

public static Tree&lt;T&gt; Insert&lt;T&gt;(T value, Tree&lt;T&gt; tree) where T : IComparable&lt;T&gt;
{
    return tree.Accept&lt;Tree&lt;T&gt;&gt;(new InsertVisitor&lt;T&gt;() { v = value });
}
</code></pre>

<p>I don't like writing that much boilerplate code, because it gets very messy when you have a non-trivial number of visitor implementations.</p>

<p>I want to write something similar to <a href=""http://www.developer.com/java/other/article.php/3300881/The-Essence-of-OOP-using-Java-Anonymous-Classes.htm"" rel=""nofollow noreferrer"">anonymous classes Java</a> (concept code):</p>

<pre><code>public static Tree&lt;T&gt; Insert&lt;T&gt;(T v, Tree&lt;T&gt; tree) where T : IComparable&lt;T&gt;
{
    return tree.Accept&lt;Tree&lt;T&gt;&gt;(new InsertVisitor&lt;T&gt;()
        {
            public Tree&lt;T&gt; Visit(Nil&lt;T&gt; s) { return new Node&lt;T&gt;() { Left = Tree&lt;T&gt;.empty, Value = v, Right = Tree&lt;T&gt;.empty }; }
            public Tree&lt;T&gt; Visit(Node&lt;T&gt; s)
            {
                switch (v.CompareTo(s.Value))
                {
                    case -1: return new Node&lt;T&gt;() { Left = Insert(v, s.Left), Value = s.Value, Right = s.Right };
                    case 1: return new Node&lt;T&gt;() { Left = s.Left, Value = s.Value, Right = Insert(v, s.Right) };
                    default: return s;
                 }
            }
        };
}
</code></pre>

<p><strong>Is there any way to simulate anonymous classes with interface implementations in C#?</strong></p>
","40516","","22514","","2010-08-02 01:40:42","2010-08-02 01:40:42","How do I simulate anonymous classes in C#","<c#><design-patterns><anonymous-class>","1","9","0","","","CC BY-SA 2.5"
"2074410","1","","","2010-01-15 20:01:39","","1","831","<p>My web page does not have the <code>autocomplete</code> attribute that would tell browsers not to autocomplete the field. In spite of not having this attribute, IE 8 or Safari (not sure on other browsers) does not autocomplete the page.</p>

<p>Autocomplete does work on some sites (such as Gmail) so I am assuming that the browser setting is not causing it?</p>

<p>Here's the code:</p>

<pre><code>      &lt;tr&gt;
        &lt;td&gt;User Id&lt;/td&gt;
        &lt;td&gt;&lt;input name=""userId"" type=""text"" id=""userId"" runat=""server"" /&gt;&lt;/td&gt;
      &lt;/tr&gt;
      &lt;tr&gt;
        &lt;td&gt;Password&lt;/td&gt;
        &lt;td&gt;&lt;input name=""password"" type=""password"" id=""password"" enableviewstate=""false"" runat=""server"" /&gt;&lt;/td&gt;
      &lt;/tr&gt;
</code></pre>
","102533","","3043","","2011-12-01 03:37:05","2011-12-01 03:37:05","AutoComplete field and IE","<asp.net><html><internet-explorer><autocomplete>","2","2","","","","CC BY-SA 2.5"
"2074415","1","","","2010-01-15 20:02:24","","0","3562","<p>I found this code that is missing the function call in the last line, any ideas on what the save to file command would be?, I'll just kludge it in.</p>

<pre><code>'CODE to SAVE InkPicture to FILE
Dim objInk As MSINKAUTLib.InkPicture
Dim bytArr() As Byte
Dim File1 As String
File1 = ""C:\"" &amp; TrainerSig &amp; "".gif""
Set objInk = Me.InkPicture2.Object
If objInk.Ink.Strokes.Count &gt; 0 Then
    bytArr = objInk.Ink.Save(2)
    fSaveFile bytArr, File1
End If
</code></pre>
","251830","","759866","","2014-01-06 14:25:41","2018-04-09 05:44:47","I am trying to use VBA code to save inkpicture contents, can only use vb.net or C#","<vba>","2","0","","","","CC BY-SA 3.0"
"2074418","1","2074433","","2010-01-15 20:02:32","","1","924","<p>i have an html table in my asp.net mvc view an i am running into some real estate issues with screen space.  </p>

<p>I think in one area of my view i am going to have a button in a column of an html table that says ""<strong>Details</strong>"" which, when clicked, loads up some dialog ui.  what i am trying to get my head around is that i want the fields in the dialog to also be part of data binding object in the overall form which i am passing to the controller when i submit the form.</p>

<p>is there anything that i should be worried about or anything that you need to do special if you have a form where inside your form you have a button that create a popup with some more details elements.  I am just trying to see from a data binding view if there are any issues.</p>

<p>also any examples of doing anything similar would be great. </p>

<hr>

<h2>EDIT</h2>

<p>So i tried doing this an ran into a binding issue.  i have a follow up question with the specifics about this binding issue with jquery ui dialog here:</p>

<p><a href=""https://stackoverflow.com/questions/2077196/why-does-jquery-ui-dialog-break-the-default-model-binding"">why does jquery ui dialog break asp.net mvc&#39;s default model binding . </a></p>
","4653","","-1","","2017-05-23 10:32:56","2010-01-16 11:48:10","binding fields in a dialog popup in my view","<asp.net-mvc><forms><dialog><data-binding>","1","0","0","","","CC BY-SA 2.5"
"2296771","1","2296814","","2010-02-19 14:01:21","","0","55","<p>I am writing extensions to a web app that doesn't need to be localized.  As the company grows I believe there is a possibility that there may be some effort in the future to do this localization.</p>

<p>Mindful of that I would like to mark all of the place that I am using country-specific date formats in an attribute on the method, for example:</p>

<pre><code>            For Each exception As String In exceptionDates
                Dim DateBits() As String = exception.Split(""/"")
                dates.Add(New Date(Integer.Parse(DateBits(2)) _
                               , Integer.Parse(DateBits(0)) _
                               , Integer.Parse(DateBits(1))))
            Next
</code></pre>

<p>Any suggestions on either what attribute to use, a generic attribute, or some other mechanism (other that putting a funky comment in the code 'NOTLOCALIZEDMOFO!).  .NET 3.5 mixed language app.</p>
","263567","","17034","","2010-02-19 14:09:39","2010-02-19 14:09:39","Mark a method as NOT localized - .NET","<asp.net><localization>","1","2","","","","CC BY-SA 2.5"
"2296773","1","2297006","","2010-02-19 14:01:23","","1","14985","<p>I'm trying to migrate a legacy application we have to Windows Server 2008 x64 and IIS7. It's written in Classic ASP and connects to a SQL Server 2005 database.</p>

<p>However, when the page runs, I receive the error:</p>

<p><code>[Microsoft][ODBC SQL Server Driver][SQL Server]Login failed for user 'NT AUTHORITY\ANONYMOUS LOGON'.</code></p>

<p>The connection string I'm using is: <code>Driver=SQL Server; Server=SERVERNAME; Initial Catalog=DBNAME;</code>
I can't see any reason for it to be using the anonymous logon as when it was running on my 32-bit Win2k3 server, it accessed the SQL Server using DOMAINNAME\SERVERNAME$.</p>

<p>I have the following settings.</p>

<p>SQL Server 2005 - running in mixed mode.
IIS7 Application Pool - Allow 32-bit applications set to True.</p>

<p>I've also added the server as a user on the SQL Server.</p>

<p>I've tried a few things now and I'm starting to run out of ideas.</p>
","147145","","76337","","2010-02-19 14:04:48","2017-12-18 16:52:45","""Login failed for user 'NT AUTHORITY\ANONYMOUS LOGON'."" to SQL Server 2005","<sql-server-2005><iis-7><asp-classic><windows-server-2008>","5","0","0","","","CC BY-SA 2.5"
